V1,V2,V3
-11.125,43.865671641791,-4998.21337890625
-11.0576923076923,43.865671641791,-4994.873046875
-10.9903846153846,43.865671641791,-4991.3134765625
-10.9230769230769,43.865671641791,-4988.3974609375
-10.8557692307692,43.865671641791,-4984.70751953125
-10.7884615384615,43.865671641791,-4981.86767578125
-10.7211538461538,43.865671641791,-4977.0078125
-10.6538461538462,43.865671641791,-4974.5576171875
-10.5865384615385,43.865671641791,-4973.23779296875
-10.5192307692308,43.865671641791,-4974.1474609375
-10.4519230769231,43.865671641791,-4977.83740234375
-10.3846153846154,43.865671641791,-4915.06005859375
-10.3173076923077,43.865671641791,-4605.85986328125
-10.25,43.865671641791,-4217.9697265625
-10.1826923076923,43.865671641791,-4062.78979492188
-10.1153846153846,43.865671641791,-3904.25
-10.0480769230769,43.865671641791,-3599.28979492188
-9.98076923076923,43.865671641791,-3450.15991210938
-9.91346153846154,43.865671641791,-3348.51977539062
-9.84615384615385,43.865671641791,-3039.68627929688
-9.77884615384615,43.865671641791,-2817.79614257812
-9.71153846153846,43.865671641791,-2619.54614257812
-9.64423076923077,43.865671641791,-2439.8662109375
-9.57692307692308,43.865671641791,-2388.31616210938
-9.50961538461539,43.865671641791,-2465.50610351562
-9.44230769230769,43.865671641791,-2537.8662109375
-9.375,43.865671641791,-2603.6162109375
-9.30769230769231,43.865671641791,-2376.52465820312
-9.24038461538461,43.865671641791,-2134.11474609375
-9.17307692307692,43.865671641791,-1892.83471679688
-9.10576923076923,43.865671641791,-1578.57470703125
-9.03846153846154,43.865671641791,-1306.77478027344
-8.97115384615385,43.865671641791,-1048.8046875
-8.90384615384615,43.865671641791,-780.744750976562
-8.83653846153846,43.865671641791,-578.544738769531
-8.76923076923077,43.865671641791,-478.191772460938
-8.70192307692308,43.865671641791,-383.881774902344
-8.63461538461539,43.865671641791,-315.021759033203
-8.56730769230769,43.865671641791,-267.171752929688
-8.5,43.865671641791,-220.971755981445
-8.43269230769231,43.865671641791,-202.721755981445
-8.36538461538461,43.865671641791,-198.611755371094
-8.29807692307692,43.865671641791,-189.661758422852
-8.23076923076923,43.865671641791,-174.386444091797
-8.16346153846154,43.865671641791,-157.316452026367
-8.09615384615385,43.865671641791,-122.396446228027
-8.02884615384615,43.865671641791,-114.86644744873
-7.96153846153846,43.865671641791,-110.066444396973
-7.89423076923077,43.865671641791,-111.726448059082
-7.82692307692308,43.865671641791,-113.796447753906
-7.75961538461539,43.865671641791,-101.206451416016
-7.69230769230769,43.865671641791,-107.672370910645
-7.625,43.865671641791,-110.742370605469
-7.55769230769231,43.865671641791,-131.382369995117
-7.49038461538462,43.865671641791,-135.942367553711
-7.42307692307692,43.865671641791,-142.132369995117
-7.35576923076923,43.865671641791,-151.622375488281
-7.28846153846154,43.865671641791,-149.772369384766
-7.22115384615385,43.865671641791,-149.01237487793
-7.15384615384615,43.865671641791,-150.965057373047
-7.08653846153846,43.865671641791,-147.165054321289
-7.01923076923077,43.865671641791,-144.065063476562
-6.95192307692308,43.865671641791,-143.045059204102
-6.88461538461539,43.865671641791,-137.715057373047
-6.81730769230769,43.865671641791,-145.18505859375
-6.75,43.865671641791,-144.235061645508
-6.68269230769231,43.865671641791,-146.605056762695
-6.61538461538462,43.865671641791,-146.941223144531
-6.54807692307692,43.865671641791,-149.251235961914
-6.48076923076923,43.865671641791,-282.541229248047
-6.41346153846154,43.865671641791,-569.541259765625
-6.34615384615385,43.865671641791,-849.091247558594
-6.27884615384615,43.865671641791,-1244.05126953125
-6.21153846153846,43.865671641791,-1015.67120361328
-6.14423076923077,43.865671641791,-468.141235351562
-6.07692307692308,43.865671641791,-289.602203369141
-6.00961538461539,43.865671641791,-159.082214355469
-5.94230769230769,43.865671641791,-166.222213745117
-5.875,43.865671641791,-248.01220703125
-5.80769230769231,43.865671641791,-159.372207641602
-5.74038461538462,43.865671641791,-158.892211914062
-5.67307692307692,43.865671641791,-165.542205810547
-5.60576923076923,43.865671641791,-144.01220703125
-5.53846153846154,43.865671641791,-152.148483276367
-5.47115384615385,43.865671641791,-93.558479309082
-5.40384615384615,43.865671641791,-91.2684783935547
-5.33653846153846,43.865671641791,-135.578475952148
-5.26923076923077,43.865671641791,-177.608474731445
-5.20192307692308,43.865671641791,-331.868469238281
-5.13461538461539,43.865671641791,-502.048461914062
-5.06730769230769,43.865671641791,-560.20849609375
-5,43.865671641791,-639.562744140625
-12,43.7985074626866,-5050.388671875
-11.9326923076923,43.7985074626866,-5044.388671875
-11.8653846153846,43.7985074626866,-5039.7685546875
-11.7980769230769,43.7985074626866,-5034.96875
-11.7307692307692,43.7985074626866,-5030.23876953125
-11.6634615384615,43.7985074626866,-5026.60888671875
-11.5961538461538,43.7985074626866,-5024.1787109375
-11.5288461538462,43.7985074626866,-5021.12890625
-11.4615384615385,43.7985074626866,-5016.50341796875
-11.3942307692308,43.7985074626866,-5013.693359375
-11.3269230769231,43.7985074626866,-5011.21337890625
-11.2596153846154,43.7985074626866,-5007.033203125
-11.1923076923077,43.7985074626866,-5005.9033203125
-11.125,43.7985074626866,-5004.43310546875
-11.0576923076923,43.7985074626866,-5002.5732421875
-10.9903846153846,43.7985074626866,-5001.42333984375
-10.9230769230769,43.7985074626866,-4998.8076171875
-10.8557692307692,43.7985074626866,-4993.4775390625
-10.7884615384615,43.7985074626866,-4991.5576171875
-10.7211538461538,43.7985074626866,-4987.83740234375
-10.6538461538462,43.7985074626866,-4985.28759765625
-10.5865384615385,43.7985074626866,-4982.767578125
-10.5192307692308,43.7985074626866,-4949.04736328125
-10.4519230769231,43.7985074626866,-4749.3173828125
-10.3846153846154,43.7985074626866,-4594.31005859375
-10.3173076923077,43.7985074626866,-4497.19970703125
-10.25,43.7985074626866,-4137.08984375
-10.1826923076923,43.7985074626866,-3524.009765625
-10.1153846153846,43.7985074626866,-3055.08984375
-10.0480769230769,43.7985074626866,-2828.71997070312
-9.98076923076923,43.7985074626866,-2749.18994140625
-9.91346153846154,43.7985074626866,-2664.32983398438
-9.84615384615385,43.7985074626866,-2498.85620117188
